Configuration,Fitness
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7059631995291755
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7066709940973844
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7067773623444289
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7066094580325769
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7039520693773693
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7055847224385937
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7073172526007858
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7060312267400599
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7058951723182911
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7074597981686314
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7063373491890396
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7080720430665904
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7074214571324714
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7045621505599695
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7065414308216926
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7066709940973844
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7068135396652299
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7041539872946633
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7050723546416021
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7041901646154645
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7074938117740736
xo_prob=0.35_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7066051306018591
